X_Longitude   Y_Latitude   LineNo StationNo  Note
  9.6844043   55.7266860   001    001       ""
  9.6843747   55.7265873   001    002       ""
  9.6843550   55.7265188   001    003       ""
  9.6843439   55.7264251   001    004       ""
  9.6844119   55.7263185   001    005       ""
  9.6844279   55.7262232   001    006       ""
  9.6843683   55.7261402   001    007       ""
  9.6843875   55.7260617   001    008       ""
  9.6842493   55.7260715   001    009       ""
  9.6840283   55.7261005   001    010       ""
  9.6850448   55.7261548   001    011       ""
  9.6843826   55.7256948   001    012       ""
  9.6843437   55.7257373   001    013       ""
