X_Longitude   Y_Latitude   LineNo StationNo  Note
  9.7098822   55.7300802   001    005       ""
  9.7098980   55.7300793   001    006       ""
  9.7098462   55.7299700   001    007       ""
  9.7098455   55.7298708   001    008       ""
  9.7098397   55.7297892   001    009       ""
  9.7098407   55.7296848   001    010       ""
  9.7092482   55.7297643   001    012       "borehole 1"
  9.7092803   55.7297612   001    013       "borehole 1"
  9.7094042   55.7298360   001    014       ""
  9.7095340   55.7299005   001    015       ""
  9.7096265   55.7299666   001    016       ""
  9.7097515   55.7300493   001    017       ""
